Name,Example,Similar,Explaination_vi,Example_vi,Explaination_en,Example_en
[동사] + (으)려면,"가: 이사하려고 하는데 어떻게 집을 구해야 돼요?
나: 집을 구하려면 근처 부동산에 가 보세요.",,"""Nếu muốn...thì..."" 
Được sử dụng khi đưa ra lời khuyên","가: Nếu bạn muốn chuyển nhà thì làm sao để tìm nhà mới?
나: Nếu bạn muốn chuyển nhà thì hãy đến một cửa hàng môi giới bất động sản gần đó","Used for 'If you want to do this, you must do this...'.
For suggestions or advice.","가:If you want to move how do you find a house?
나: If you want to find a house please go to a nearby real estate agent"
[동사] + (으)ㄹ 래요,"가:저는 커피를 마실래요. 쿤 씨는요?
나: 저는 아이스크림을 먹을래요.",,"“Tôi muốn...” hay “Tôi dự định...”, hoặc nó cũng có thể mang ý nghĩa “Bạn có muốn...?” khi nó được sử dụng trong một câu hỏi
Được sử dụng khi bạn muốn diễn đạt ý định mục đích hay một sự sẵn sàng để làm thứ gì đó. Nếu bạn thêm một từ để hỏi ở cuối của câu bạn có thể hỏi về ý định, ý thích, nguyện vọng của người khác để làm thứ gì đó","가: Tôi muốn uống cà phê. Koon, còn bạn thì sao?
나: Tôi muốn ăn kem.","Used to ask someone to do something together.
'Shall we…?' or 'Would you like to…?'
Similar to 'I want…'","가: I want to drink coffee. Koon, how about you?
나: I want to eat icecream."
