Name,Example,Similar,Explaination_vi,Example_vi,Explaination_en,Example_en
[형용사] + (으)ㄴ가요/[동사] + 나요,지하철역이 여기서 가까운가요?,,Sử dụng như một cách lịch sự và nhẹ nhàng để hỏi ai đó một câu hỏi,Bến tàu điện ngầm có ở gần đây không ạ?,"Polite question ending.
Used for acquaintances and strangers in semi-formal settings.",Is the subway close?
[동사] + (으)ㄹ 만하다,"가: 요즘 서울에서 구경할 만한 축제가 있나요?
나: 한강에서 하는 불꽃놀이 축제가 볼 만해요.",,"1. Cấu trúc này diễn tả hành động nào đó có giá trị để làm. Vì vậy, chủ yếu sử dụng để giới thiệu, gợi ý phương án cho người khác.
2. Sử dụng khi người nói không hoàn toàn hài lòng/thỏa mãn với thứ gì đó, nhưng nó vẫn đáng để chú ý đến hay đáng để làm.","가: Dạo này có lễ hội nào hay hay ở Seoul không nhỉ?
나: Có lễ hội ánh sáng ở sông Hàn đẹp đấy.","1. Something that is worth doing or recommended.
2. Something that is alright but not great.","가: Are there any festivals you recommend seeing in Seoul these days?
나: The Han river light festival is worth seeing."
