Name,Example,Similar,Explaination_vi,Example_vi,Explaination_en,Example_en
V + (으)라고 하다,모금 운동에 참여해 달라고 할 거예요.,,"Đứng sau thân động từ để truyền đạt gián tiếp lại mệnh lệnh hay yêu cầu của người khác.
Người nói cũng sử dụng khi truyền đạt lại lời đã nói của bản thân.",Anh ấy sẽ đề nghị bạn tham gia vào chiến dịch gây quỹ,This is a quoted imperative.,He will ask you to join the fundraising campaign.
V + 자고 하다,"가: 갑자기 여행을 왜 취소하셨어요?
나: 아, 내일 비가 올 것 같아서 가지 말자고 했어요.",,"Đứng sau thân động từ, biểu thị cách nói gián tiếp dùng khi truyền đạt lại lời đề nghị của ai đó cho một người khác. Người nói cũng sử dụng khi truyền đạt lại lời nói của bản thân.","가: Tại sao đột nhiên bạn lại huỷ chuyến du lịch thế?
나: Ngày mai trời có thể mưa nên tôi đã đề nghị không đi nữa",Someone suggests to someone else that they can do something together.,"가: Why did you suddenly cancel your trip?
나: Ah, tomorrow it will probably rain so I suggested not to go."
