Name,Example,Similar,Explaination_vi,Example_vi,Explaination_en,Example_en
[동사] + (으)ㄴ 채(로),휴대폰 전원을 끈 채로 수리 센터에 가져가야 한다.,,"""với, khi vẫn đang, trong khi (vẫn), trong trạng thái, để nguyên, giữ nguyên trạng thái ""
Cấu trúc này được sử dụng khi một hành động xác định được xảy ra trong quá trình diễn ra của một hành động khác. Trạng thái của mệnh đề vẫn còn đang tiếp tục cho đến mệnh đề sau",Bạn cần tắt máy điện thoại rồi mang đến trung tâm dịch vụ khách hàng.,"Similar to 'with' or 'while'. (e.g. 'With the window open…')
Related to the status of something. (Such as on/off, etc.)
Shortened to 채.",You have to go to the service center with your cell phone turned off.
[동사] + (아/어) 버리다,휴대폰을 떨어뜨려서 액정이 깨져 버렸다.,,"1. một cảm giác hạnh phúc về việc cuối cùng đã hoàn thành một nhiệm vụ và trút bỏ được gánh nặng, sự nặng nề và trách nhiệm.
2. một cảm giác buồn vì thứ gì đó đã xảy ra theo cách mà người nói không muốn hoặc không mong đợi.",Tớ làm rơi điện thoại nên vỡ màn hình rồi.,"Done something to completion.
Usually something regrettable or disappointing.",I dropped my phone so the screen is totally broken
