Name,Example,Similar,Explaination_vi,Example_vi,Explaination_en,Example_en
피동사,어제 창문을 열고 자서 모기한테 물렸어요.,,"Trong câu bị động chủ thể ‘nhận’ hành động (bị, được...).",Hôm qua cửa sổ mở nên trong khi ngủ tôi đã bị muỗi đốt,This is used for passive verbs.,Yesterday the window was open and when I slept I was bitten by mosquitoes.
[동사] + 아/어 있다,"가: 이번 주 금요일에 현장 체험을 가는 것 알죠?
나: 네, 게시판에 붙어 있는 공지를 봤어요?",,Diễn tả hành động đã hoàn thành và đang duy trì ở trạng thái đó.,"가: Thứ 6 này bạn đi công tác à?
나: Ừ đúng rồi, bạn nhìn thấy thông báo dán trên bảng à?",The continuation of an action.,"가: This Friday you're going on a field trip, right?
나: Yes, did you see the notice stick on the board?"
