ID,BookID,Index,Name,vi,en
41,3,1,가 족,Gia đình,Family
42,3,2,음식과 요리,Ẩm thực và nấu nướng,Food and cooking
43,3,3,공공 기관,Cơ quan công quyền,Public institutions
44,3,4,성 격,Tính cách,Personality
45,3,5,집과 생활,Nhà ở và sinh hoạt,Home and living
46,3,6,소비와 절약,Tiêu dùng và tiết kiệm,Consumption and saving
47,3,7,축제와 행사,Lễ hội và sự kiện,Festivals and events
48,3,8,고장과 수리,Hư hỏng và sửa chữa,Breakdown and repair
49,3,9,공연과 감상,Công diễn và thưởng thức,Performance and appreciation
50,3,10,종합 연습 1,Luyện tập 1,Comprehensive Exercise 1
51,3,11,취업,Tìm được việc làm,Getting a job
52,3,12,여행,Du lịch,Travel
53,3,13,명절,Ngày lễ Tết,National holiday
54,3,14,생활 정보,Thông tin đời sống,Life information
55,3,15,소식과 알림,Tin tức và thông báo,News and Notices
56,3,16,회식과 모임,Liên hoan và hội họp,Dining together and meeting
57,3,17,문화 체험과 경험,Kinh nghiệm và trải nghiệm văn hóa,Cultural experience
58,3,18,이웃과 지역사회,Hàng xóm láng giềng và cộng đồng địa phương,Neighborhoods and communities
59,3,19,고민과 상담,Mối lo lắng và sự tư vấn,Worries and Consulting
60,3,20,종합 연습 2,Luyện tập 2,Comprehensive Exercise 2
