Name,Example,Similar,Explaination_vi,Example_vi,Explaination_en,Example_en
V/A + (으)ㄹ 수밖에 앖다,돈을 모으려면 아껴 쓸 수밖에 없다,,"""chỉ còn cách là” hoặc “không có/còn cách nào khác là (làm gì đó)” ""không còn cách nào khác ngoài (việc làm gì đó)""",Nếu muốn tiết kiệm tiền thì không còn cách nào khác ngoài tiết kiệm,Used for 'there is nothing I can do but...' or 'there is nothing else except...'.,If you want to save money there's nothing else to do but save
V + 기가 무섭게,가게 문을 열기가 무섭게 손님들이 들어왔어요,-자마자,"""ngay khi, ngay sau khi"" 
Mệnh đề thứ hai xảy ra ngay sau khi hành động ở mệnh đề thứ nhất kết thúc","Ngay khu cửa hàng mở cửa, khách đã vào",Similar to 'as soon as'.,As soon as the store door opened the guests came in
