Name,Example,Similar,Explaination_vi,Example_vi,Explaination_en,Example_en
[동사] + 아/어 놓다,다음 달에 고향에 갔다 오려고 비행기 표를 예약해 놓았어요.,,"""....sẵn rồi, ....sẵn""
Đứng sau động từ thể hiện một hành động nào đó được kết thúc và sau đó trạng thái của nó được duy trì.",Tôi sẽ về quê tháng tới thế nên tôi đã đặt sẵn vé rồi,To leave an object in a certain state (something which continues).,Next month I will go to my hometown and I reserved my plane tickets.
[동사/황용사] + (으)ㄴ/는 데다가,제주도는 경치가 아름다운 데다가 맛있는 음식도 많아요.,,"""không những...mà còn""
Hai mệnh đề trong câu phải nhất quán, có cùng đặc tính và -도 cũng thường được dùng trong mệnh đề thứ hai. Chủ thể của cả hai mệnh đề phải là giống nhau.",Jeju không chỉ có cảnh đẹp mà thức ăn cũng ngon nữa,"Used similarly to 'additionally' or 'also'.
However, refers to two different but related topics within the same subject.",Jeju scenery is beautiful and there is a lot of delicious food.
