Name,Example,Similar,Explaination_vi,Example_vi,Explaination_en,Example_en
[동사/황용사] + (으)ㄴ/는 척하다,그 사람은 돈도 없으면서 사람들 앞에서 돈이 많은 척해요.,,"""làm như, giả vờ, giả bộ như, tỏ ra như""
Biểu hiện một hành động/ trạng thái nào đó trên thực tế không phải là như vậy, nhưng lại thể hiện nó giống như thế.",Người đó không có tiền nhưng trước mặt mọi người lại giả vờ là anh ta có rất nhiều tiền,"To pretend to do something, or pretend to feel something.",That person has no money but when in front of people he pretends he has a lot of money.
[동사] + (으)ㄹ 뻔하다,"가: 어제 문화 체험은 잘 했어요?
나: 네, 그런데 늦잠을 자서 체험 시간에 늦을 뻔했어요.",,"""suýt chút nữa, gần như/suýt nữa thì/suýt thì (đã xảy ra chuyện gì đó)""","가: Bạn dến lễ hội trải nghiệm văn hoá hôm qua à?
나: Đúng thế, nhưng mình dậy muộn quá nên suýt nữa thi muộn trải nghiệm đó",For something to almost or nearly happen.,"가: You went to the cultural experience yesterday?
나: Yes, but I slept late so I was almost late for the experience."
