Name,Example,Similar,Explaination_vi,Example_vi,Explaination_en,Example_en
V/A + 아도/어도,저는 늦게 자도 6시에는 꼭 일어나요,,"""cho dù/dù có...(thì) cũng..., cho dù/dù có...nhưng...""
Mệnh đề thứ hai được mong đợi xảy ra bất chấp những gì xảy ra trong mệnh đề phía trước",Mặc dù tôi đi ngủ muộn nhưng tôi luôn thức dậy lúc 6 giờ,"Used for 'even if', 'even though'.
Add '아무리' to the start to add emphasis like 'no matter what/how'",Even though I go to sleep late I always wake up at 6
V + 자마자,남편은 집에 오자마자 텔레비전부터 켜요,[동사] + 기가 무섭게,"""ngay sau khi, ngay khi, vừa.....là....""
Mệnh đề thứ hai xảy ra ngay sau khi hành động ở mệnh đề thứ nhất kết thúc.","Ngay khi chồng tôi về nhà, anh ấy bật tivi",Like 'as soon as'. Literal meaning,As soon as my husband comes home he turns on the TV
