Name,Example,Similar,Explaination_vi,Example_vi,Explaination_en,Example_en
V + 느니 차라리,맛이 없는 음식을 먹느니 차라리 저녁을 안 먹을래요.,,"""Nếu...thì thà rằng/thà...""
[A 느니 B] biểu hiện rằng 'cả A và B đều không làm hài lòng, vừa ý, ưng ý nhưng so với A thì thà rằng B xuất hiện sẽ có ý nghĩa hơn'.",Tôi nghe nói họ thà rằng không ăn gì còn hơn là ăn đồ ăn không ngon,Emphasises that 'I'd much rather...'.,I heard they'd much rather eat nothing than than eat not delicious food.
V/A 더니,어제는 춥더니 오늘은 날씨가 좋다.,,"""vậy mà, thế mà...""
A 더니 B] Sử dụng khi một trạng thái khác (là B) xuất hiện có tính tương phản, trái ngược với thứ mà người nói đã từng có kinh nghiệm hay đã biết trước đây (là A).",Hôm qua trời lạnh nhưng hôm nay thời tiết rất tốt,"The current fact is different from what was previously learned.
There are more facts related to a something that is known to the past.
A conjunction of a past recurrence, and the current happening (cause and effect).",Yesterday was cold but today's weather is good.
