Name,Example,Similar,Explaination_vi,Example_vi,Explaination_en,Example_en
사동사,좋은 교육을 통해 우리 아이를 훌륭한 사람으로 키우고 싶습니다.,,"""làm cho, khiến cho ai đó thực hiện hành động nào đó"" 
Động từ gây khiến được sử dụng trong trường hợp chủ thể hành động không thực hiện hành động một cách tự phát, mà do người khác sai khiến hoặc do tác động từ bên ngoài dẫn đến.",Tôi muốn làm cho con tôi trở thành một người xuất sắc thông qua giáo dục,This is for causative verbs. Like 'to make/cause/let...'.,I want to make my child grow into an excellent person through education.
[동사] 도록,아이가 학교에 늦지 않도록 일찍 깨웠다.,~기 위해서,"1. ""để cho/để"" [A 도록 B] Thể hiện A là mục đích cho việc thực hiện B.
2. ""đến tận khi, cho đến khi"" [A 도록 B] Thực hiện B đến khi trở nên/trở thành trạng thái A.",Đứa trẻ dậy sớm để không bị muộn học,"This means, 'To command/to make...'.
It can also mean, 'To the extent that...'.
Another meaning is, 'So that/In order to...'.",The child woke up early so that he wasn't late for school.
